 Вася        320           2            5                    2          0      31,00 
     bodya         15           2            5                    2          0      34,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      34,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      34,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      35,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         15           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         20           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      36,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         30           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         40           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      37,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         50           2            5                    2          0      38,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya         45           1            5                    2          0      46,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       3,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       4,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       6,00 
